iter	Passed	Remaining
658	26396	13658
659	26450	13626
660	26497	13589
661	26530	13545
662	26561	13501
663	26598	13459
664	26643	13421
665	26679	13379
666	26714	13337
667	26742	13291
668	26782	13251
669	26819	13209
670	26863	13171
671	26894	13126
672	26930	13085
673	26978	13049
674	27047	13022
675	27089	12983
676	27124	12941
677	27162	12900
678	27205	12861
679	27251	12824
680	27289	12783
681	27326	12741
682	27366	12701
683	27407	12661
684	27431	12614
685	27446	12562
686	27462	12512
687	27481	12462
688	27506	12415
689	27535	12371
690	27578	12332
691	27621	12294
692	27668	12256
693	27705	12215
694	27744	12175
695	27781	12134
696	27816	12092
697	27859	12053
698	27899	12014
699	27937	11973
700	27979	11934
701	28019	11894
702	28051	11851
703	28091	11811
704	28132	11771
705	28166	11729
706	28214	11692
707	28259	11655
708	28308	11618
709	28340	11575
710	28376	11534
711	28416	11494
712	28450	11452
713	28493	11413
714	28533	11373
715	28584	11338
716	28641	11304
717	28683	11265
718	28724	11226
719	28771	11188
720	28816	11150
721	28854	11110
722	28893	11069
723	28937	11031
724	28969	10988
725	29005	10946
726	29033	10902
727	29062	10858
728	29094	10815
729	29122	10771
730	29158	10729
731	29187	10686
732	29224	10645
733	29262	10604
734	29299	10563
735	29340	10524
736	29385	10486
737	29448	10454
738	29481	10412
739	29505	10366
740	29539	10325
741	29584	10286
742	29625	10247
743	29659	10205
744	29697	10165
745	29729	10122
746	29773	10083
747	29805	10041
748	29834	9997
749	29876	9958
750	29914	9918
751	29968	9883
752	30011	9844
753	30058	9806
754	30094	9765
755	30130	9724
756	30171	9685
757	30213	9646
758	30245	9603
759	30284	9563
760	30319	9522
761	30352	9480
762	30395	9441
763	30431	9400
764	30464	9358
765	30500	9317
766	30544	9278
767	30596	9242
768	30630	9201
769	30665	9159
770	30697	9117
771	30723	9073
772	30754	9031
773	30793	8991
774	30834	8951
775	30894	8918
776	30927	8876
777	30955	8833
778	30991	8792
779	31021	8749
780	31054	8707
781	31089	8666
782	31118	8624
783	31153	8583
784	31182	8540
785	31215	8498
786	31259	8460
787	31301	8421
788	31342	8381
789	31376	8340
790	31412	8299
791	31444	8258
792	31476	8216
793	31517	8177
794	31553	8136
795	31616	8102
796	31648	8061
797	31685	8020
798	31710	7977
799	31745	7936
800	31791	7898
801	31828	7857
802	31874	7819
803	31910	7779
804	31944	7738
805	31979	7697
806	32009	7655
807	32038	7613
808	32066	7570
809	32101	7529
810	32150	7492
811	32183	7451
812	32227	7412
813	32260	7371
814	32299	7331
815	32327	7289
816	32364	7249
817	32402	7209
818	32437	7168
819	32472	7128
820	32501	7086
821	32526	7043
822	32576	7006
823	32653	6974
824	32688	6933
825	32732	6895
826	32782	6857
827	32841	6822
828	32894	6785
829	32945	6747
830	32993	6709
831	33044	6672
832	33076	6631
833	33105	6589
834	33146	6549
835	33183	6509
836	33222	6469
837	33264	6430
838	33296	6389
839	33375	6357
840	33461	6326
841	33530	6292
842	33618	6261
843	33702	6229
844	33762	6193
845	33811	6154
846	33854	6115
847	33879	6072
848	33931	6034
849	34058	6010
850	34113	5972
851	34177	5936
852	34223	5897
853	34239	5853
854	34256	5809
855	34269	5764
856	34281	5720
857	34292	5675
858	34307	5631
859	34323	5587
860	34337	5543
861	34354	5499
862	34367	5455
863	34383	5412
864	34399	5368
865	34412	5324
866	34441	5283
867	34474	5242
868	34524	5204
869	34574	5166
870	34628	5128
871	34658	5087
872	34682	5045
873	34701	5002
874	34722	4960
875	34749	4918
876	34782	4878
877	34816	4837
878	34846	4796
879	34877	4756
880	34914	4716
881	34946	4675
882	34976	4634
883	35004	4593
884	35040	4553
885	35084	4514
886	35111	4473
887	35140	4432
888	35164	4390
889	35190	4349
890	35214	4307
891	35235	4266
892	35267	4225
893	35298	4185
894	35324	4144
895	35356	4103
896	35390	4063
897	35415	4022
898	35441	3981
899	35472	3941
900	35500	3900
901	35530	3860
902	35558	3819
903	35568	3777
